source_field,details
PostpartumComplication06,Postpartum complication 06
PostpartumComplication07,Postpartum complication 07
PreviousCaesareanFlag,Previous caesarean flag
PreviousPregnanciesRefId,Previous pregnancies
PrevPregnanciesOutcomeUnkRefId,Total number of previous pregnancies where the outcome is unknown
ProcedureACHI01,Procedure ACHI 01
ProcedureACHI02,Procedure ACHI 02
ProcedureACHI03,Procedure ACHI 03
ProcedureACHI04,Procedure ACHI 04
ProcedureACHI05,Procedure ACHI 05
ProcedureACHI06,Procedure ACHI 06
ProcedureACHI07,Procedure ACHI 07
ProcedureACHI08,Procedure ACHI 08
ProcedureACHI09,Procedure ACHI 09
ProceduresConcatenated,Procedure codes concatenated
ProcedureText,Procedure text
ProphylacticOxytocicRefId,Prophylactic oxytocic
ResusMethodDrugsConcatenated,"Drugs administered immediately after birth to establish independent respiration and heartbeat, or to treat depressed respiratory effort and to correct metabolic disturbances"
ResusMethodMechanicalConcat,#N/A
SA1_7DIG11,SA1 7 digit 2011
SA1_7DIG16,SA1 7 digit 2016
SA1_MAIN11,SA1 main 2011
SA1_MAIN16,SA1 main 2016
SA2_5DIG11,SA2 5 digit 2011
SA2_5DIG16,SA2 5 digit 2016
SA2_MAIN11,SA2 main 2011
SA2_MAIN16,SA2 main 2016
SA2_NAME11,SA2 name 2011
SA2_NAME16,SA2 name 2016
seifaquinn06,SEIFA quinn 2006
seifaquinn11_SA1,SEIFA quinn 2011 SA1
seifaquinn16_SA1,SEIFA quinn 2016 SA1
SepStatus_Mat_Old,SepStatus_Mat_Old
SLA_Name,SLA name
SmallForGestationalAgeRefId,Small for gestational age
SmokingAfter20WeeksRefId,Smoking after 20 weeks
SmokingBefore20WeeksRefId,Smoking before 20 weeks
StillbirthTimeOfDeath,Still birth time of death
TER,TER
UniqueRegID,Unique registration Id
VaginalBirthAfterCaesarPlanRefId,"Where, at the time of admission to hospital for the birth, the woman planned to have a vaginal birth after one or more previous caesarean sections."
VicPerinatalDW_PK,Primary key
YearArrivalAustralia,"The year a person (born outside of Australia) first arrived in Australia, from another country."
